UNIQUE_KEY,PRODUCT_TITLE,STYLE#,CATEGORY_NAME,COLOR_NAME,SIZE,PIECE_WEIGHT,PIECE_PRICE,DOZENS_PRICE,CASE_PRICE,CASE_SIZE,INVENTORY_KEY,MILL,MSRP,FRONT_MODEL_IMAGE_URL,BACK_MODEL_IMAGE_URL,FRONT_FLAT_IMAGE_URL,BACK_FLAT_IMAGE_URL
8642,JERZEES -  Dri-Power Active 50/50 Cotton/Poly T-Shirt.  29M,29M,T-Shirts ,White,S,0.37,3.17,3.17,2.17,72,864,Jerzees,4.34,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_white_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_white_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2015/f6/29M_white_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/29M_White_Flat_Back_2009.jpg 
8643,JERZEES -  Dri-Power Active 50/50 Cotton/Poly T-Shirt.  29M,29M,T-Shirts ,White,M,0.42,3.17,3.17,2.17,72,864,Jerzees,4.34,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_white_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_white_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2015/f6/29M_white_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/29M_White_Flat_Back_2009.jpg 
8644,JERZEES -  Dri-Power Active 50/50 Cotton/Poly T-Shirt.  29M,29M,T-Shirts ,White,L,0.47,3.17,3.17,2.17,72,864,Jerzees,4.34,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_white_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_white_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2015/f6/29M_white_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/29M_White_Flat_Back_2009.jpg 
8645,JERZEES -  Dri-Power Active 50/50 Cotton/Poly T-Shirt.  29M,29M,T-Shirts ,White,XL,0.53,3.17,3.17,2.17,72,864,Jerzees,4.34,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_white_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_white_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2015/f6/29M_white_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/29M_White_Flat_Back_2009.jpg 
8662,JERZEES -  Dri-Power Active 50/50 Cotton/Poly T-Shirt.  29M,29M,T-Shirts ,White,3XL,0.68,6.23,6.23,5.23,36,866,Jerzees,10.46,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_white_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_white_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2015/f6/29M_white_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/29M_White_Flat_Back_2009.jpg 
8681,JERZEES -  Dri-Power Active 50/50 Cotton/Poly T-Shirt.  29M,29M,T-Shirts ,White,2XL,0.55,4.68,4.68,3.68,72,868,Jerzees,7.36,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_white_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_white_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2015/f6/29M_white_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/29M_White_Flat_Back_2009.jpg 
8692,JERZEES -  Dri-Power Active 50/50 Cotton/Poly T-Shirt.  29M,29M,T-Shirts ,Ash,S,0.37,3.72,3.72,2.72,72,869,Jerzees,5.44,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_ash_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_ash_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2013/f13/29M_ash_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2015/f6/29M_ash_flat_back.jpg 
8693,JERZEES -  Dri-Power Active 50/50 Cotton/Poly T-Shirt.  29M,29M,T-Shirts ,Ash,M,0.42,3.72,3.72,2.72,72,869,Jerzees,5.44,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_ash_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_ash_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2013/f13/29M_ash_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2015/f6/29M_ash_flat_back.jpg 
8694,JERZEES -  Dri-Power Active 50/50 Cotton/Poly T-Shirt.  29M,29M,T-Shirts ,Ash,L,0.47,3.72,3.72,2.72,72,869,Jerzees,5.44,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_ash_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_ash_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2013/f13/29M_ash_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2015/f6/29M_ash_flat_back.jpg 
8695,JERZEES -  Dri-Power Active 50/50 Cotton/Poly T-Shirt.  29M,29M,T-Shirts ,Ash,XL,0.53,3.72,3.72,2.72,72,869,Jerzees,5.44,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_ash_model_front_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2017/f4/29M_ash_model_back_032017.jpg,https://cdnl.sanmar.com/imglib/mresjpg/2013/f13/29M_ash_flat_front.jpg ,https://cdnl.sanmar.com/imglib/mresjpg/2015/f6/29M_ash_flat_back.jpg 
